stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening E:\Visual Studio 2015\Projects\Sudok\Sudoku\allegro5.cfg r
display  D   display_settings.c:527  _al_score_display_settings       [   0.32404] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.32407] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32411] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.32414] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32418] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.32421] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32426] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.32429] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32433] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.32436] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32446] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32450] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32454] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32457] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32461] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.32464] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32468] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.32472] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32476] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.32479] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32483] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.32486] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32490] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.32493] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32497] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.32500] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32505] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.32508] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32512] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32515] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32519] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32522] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32526] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.32530] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32534] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.32537] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32541] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.32544] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32548] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.32551] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32556] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.32559] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32563] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.32566] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32570] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.32574] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32578] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32581] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32585] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32588] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32592] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.32595] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32599] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.32602] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32607] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.32610] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32614] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.32617] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32621] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.32624] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32628] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.32632] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32636] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.32639] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32643] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32646] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32650] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32653] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32657] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.32660] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32665] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.32668] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32672] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.32675] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32679] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.32682] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32687] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.32690] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32694] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.32697] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32701] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.32704] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32708] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32711] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32715] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32719] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32723] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.32726] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32730] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.32733] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32737] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.32740] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32744] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.32747] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32752] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.32755] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32759] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.32762] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32766] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.32769] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32773] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32776] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32781] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32784] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32788] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.32791] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32795] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.32798] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32806] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.32810] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32814] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.32817] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32821] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.32824] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32828] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.32831] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32835] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.32839] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32843] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32846] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32850] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32853] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32857] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.32860] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32864] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.32867] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32872] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.32875] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32879] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.32882] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32886] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.32889] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32893] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.32896] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32901] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.32904] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32908] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32911] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32915] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32918] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32923] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32926] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32931] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32934] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32938] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32941] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32945] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32949] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32953] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32956] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32960] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32964] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32968] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32971] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32975] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32978] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32982] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32986] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32990] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32993] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32997] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33001] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33005] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33008] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33012] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33015] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33020] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33023] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33027] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33031] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33035] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33038] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33043] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33046] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33050] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33053] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33057] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33061] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33065] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33068] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33072] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33076] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33080] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33083] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33087] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33091] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33095] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33098] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33102] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33105] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33110] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33113] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33117] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33120] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33124] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33128] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33132] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33135] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33139] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33143] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33147] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33151] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33155] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33158] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33162] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33166] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33170] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33173] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33177] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33180] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33184] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33188] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33192] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33195] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33199] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33203] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33207] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33210] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33214] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33217] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33222] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33225] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33229] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33232] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33236] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33240] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33244] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33247] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33251] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33255] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33262] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33266] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33270] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33273] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
